age,sex,Population_1968,Population_1969,Population_1970,Population_1971,Population_1972,Population_1973,Population_1974,Population_1975,Population_1976,Population_1977,Population_1978,Population_1979,Population_1980,Population_1981,Population_1982,Population_1983,Population_1984,Population_1985,Population_1986,Population_1987,Population_1988,Population_1989,Population_1990,Population_1991,Population_1992,Population_1993,Population_1994,Population_1995,Population_1996,Population_1997,Population_1998,Population_1999,Population_2000,Population_2001,Population_2002,Population_2003,Population_2004,Population_2005,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020,Population_2021,Population_Growth_1968,Population_Growth_1969,Population_Growth_1970,Population_Growth_1971,Population_Growth_1972,Population_Growth_1973,Population_Growth_1974,Population_Growth_1975,Population_Growth_1976,Population_Growth_1977,Population_Growth_1978,Population_Growth_1979,Population_Growth_1980,Population_Growth_1981,Population_Growth_1982,Population_Growth_1983,Population_Growth_1984,Population_Growth_1985,Population_Growth_1986,Population_Growth_1987,Population_Growth_1988,Population_Growth_1989,Population_Growth_1990,Population_Growth_1991,Population_Growth_1992,Population_Growth_1993,Population_Growth_1994,Population_Growth_1995,Population_Growth_1996,Population_Growth_1997,Population_Growth_1998,Population_Growth_1999,Population_Growth_2000,Population_Growth_2001,Population_Growth_2002,Population_Growth_2003,Population_Growth_2004,Population_Growth_2005,Population_Growth_2006,Population_Growth_2007,Population_Growth_2008,Population_Growth_2009,Population_Growth_2010,Population_Growth_2011,Population_Growth_2012,Population_Growth_2013,Population_Growth_2014,Population_Growth_2015,Population_Growth_2016,Population_Growth_2017,Population_Growth_2018,Population_Growth_2019,Population_Growth_2020,Population_Growth_2021
0-4_years,men,306525,301373,296138,290726,285378,282059,283338,281565,274909,267596,258990,251440,247885,245098,243176,242615,241928,243242,248066,254176,265130,277148,290330,301091,310189,312287,310539,298680,282416,265400,251848,240440,234890,234235,237592,242795,249343,254540,262868,269594,275987,281826,288931,291625,294723,297494,300184,301784,307392,309845,311036,309567,305880,302380,..,-5152,-5235,-5412,-5348,-3319,1279,-1773,-6656,-7313,-8606,-7550,-3555,-2787,-1922,-561,-687,1314,4824,6110,10954,12018,13182,10761,9098,2098,-1748,-11859,-16264,-17016,-13552,-11408,-5550,-655,3357,5203,6548,5197,8328,6726,6393,5839,7105,2694,3098,2771,2690,1600,5608,2453,1191,-1469,-3687,-3500
0-4_years,women,290507,284917,280460,275596,270765,267532,269260,267572,261653,254791,246712,239689,235951,233666,231842,230750,229573,230272,234372,241051,251159,262619,275635,285607,293395,296326,295172,283639,269074,253132,239508,228276,222960,221532,224907,230091,236215,241805,249715,255711,260995,266396,272857,275744,278860,281525,283973,284434,289649,292199,293462,292151,289196,286054,..,-5590,-4457,-4864,-4831,-3233,1728,-1688,-5919,-6862,-8079,-7023,-3738,-2285,-1824,-1092,-1177,699,4100,6679,10108,11460,13016,9972,7788,2931,-1154,-11533,-14565,-15942,-13624,-11232,-5316,-1428,3375,5184,6124,5590,7910,5996,5284,5401,6461,2887,3116,2665,2448,461,5215,2550,1263,-1311,-2955,-3142
5-14_years,men,545229,556942,567647,574783,581486,584121,585190,589015,594165,597584,595588,589646,579685,567000,553622,542987,537103,531543,522614,514808,508220,503500,503949,508246,514009,526913,542641,556008,570337,583749,594190,600866,601728,597018,589639,577605,563016,545961,531755,520981,515681,513812,514781,522153,533273,548063,564173,581091,598270,613443,625179,634337,639801,643750,..,11713,10705,7136,6703,2635,1069,3825,5150,3419,-1996,-5942,-9961,-12685,-13378,-10635,-5884,-5560,-8929,-7806,-6588,-4720,449,4297,5763,12904,15728,13367,14329,13412,10441,6676,862,-4710,-7379,-12034,-14589,-17055,-14206,-10774,-5300,-1869,969,7372,11120,14790,16110,16918,17179,15173,11736,9158,5464,3949
5-14_years,women,516046,527605,537767,545507,550943,554136,555347,559247,564303,567464,566362,560571,551830,540231,527669,517576,512525,506944,498664,490649,483579,478579,478288,482181,488381,499992,514313,527035,539598,552171,562916,570119,571220,567490,559787,548499,535007,518470,505249,495447,489739,487408,488390,494748,505003,519019,533703,549834,565683,579190,590052,598766,602921,606919,..,11559,10162,7740,5436,3193,1211,3900,5056,3161,-1102,-5791,-8741,-11599,-12562,-10093,-5051,-5581,-8280,-8015,-7070,-5000,-291,3893,6200,11611,14321,12722,12563,12573,10745,7203,1101,-3730,-7703,-11288,-13492,-16537,-13221,-9802,-5708,-2331,982,6358,10255,14016,14684,16131,15849,13507,10862,8714,4155,3998
15-24_years,men,629295,623716,618624,602826,586892,573023,565352,559633,559135,559386,561714,571117,579347,584725,590231,592556,593704,597444,602572,605742,605901,604459,596169,583840,571390,562921,560409,555349,546157,537755,530346,524223,524681,529529,536693,549511,561788,576571,595674,613119,626537,637516,641175,637657,632364,624781,617638,609220,607596,605597,604970,606696,605543,611732,..,-5579,-5092,-15798,-15934,-13869,-7671,-5719,-498,251,2328,9403,8230,5378,5506,2325,1148,3740,5128,3170,159,-1442,-8290,-12329,-12450,-8469,-2512,-5060,-9192,-8402,-7409,-6123,458,4848,7164,12818,12277,14783,19103,17445,13418,10979,3659,-3518,-5293,-7583,-7143,-8418,-1624,-1999,-627,1726,-1153,6189
15-24_years,women,601478,596217,590724,577171,563180,549607,540688,535153,533751,534434,536838,546023,553711,559578,564051,566367,566759,569442,573748,576639,577050,574520,568112,557711,546555,538691,536929,531572,522965,514332,506986,500840,500621,505165,512537,523806,535221,549077,565625,581435,595206,606470,609446,605581,599416,590786,581127,569700,562195,556160,552136,549912,550497,557454,..,-5261,-5493,-13553,-13991,-13573,-8919,-5535,-1402,683,2404,9185,7688,5867,4473,2316,392,2683,4306,2891,411,-2530,-6408,-10401,-11156,-7864,-1762,-5357,-8607,-8633,-7346,-6146,-219,4544,7372,11269,11415,13856,16548,15810,13771,11264,2976,-3865,-6165,-8630,-9659,-11427,-7505,-6035,-4024,-2224,585,6957
25-34_years,men,521008,551781,582358,605436,621899,635648,647671,658597,664912,665281,659411,647011,634238,621096,608513,596545,588480,581653,579828,580492,585652,600363,612737,621952,630500,636332,640347,641458,643330,642904,638899,631198,621815,611087,600713,592682,588921,587362,585828,586130,586946,589423,596616,604962,614091,629716,647598,666989,695538,717903,735403,747166,748293,746484,..,30773,30577,23078,16463,13749,12023,10926,6315,369,-5870,-12400,-12773,-13142,-12583,-11968,-8065,-6827,-1825,664,5160,14711,12374,9215,8548,5832,4015,1111,1872,-426,-4005,-7701,-9383,-10728,-10374,-8031,-3761,-1559,-1534,302,816,2477,7193,8346,9129,15625,17882,19391,28549,22365,17500,11763,1127,-1809
25-34_years,women,489578,515245,541637,563438,581105,596559,609383,620939,627923,630158,625808,615670,605111,593476,583009,571372,562449,556489,554215,554171,557548,569531,579738,588524,595678,602480,608131,610164,612648,613425,611555,605343,598133,588957,579646,572372,569435,566975,563951,561523,561180,562405,567176,575285,586456,601528,617535,634495,657325,678593,696060,708421,709415,707639,..,25667,26392,21801,17667,15454,12824,11556,6984,2235,-4350,-10138,-10559,-11635,-10467,-11637,-8923,-5960,-2274,-44,3377,11983,10207,8786,7154,6802,5651,2033,2484,777,-1870,-6212,-7210,-9176,-9311,-7274,-2937,-2460,-3024,-2428,-343,1225,4771,8109,11171,15072,16007,16960,22830,21268,17467,12361,994,-1776
35-44_years,men,472794,466984,463157,460262,458607,458941,464359,469210,477519,493114,515127,541112,565953,589392,609914,627046,639791,650737,656018,655491,651040,641333,631755,622767,613686,606648,603976,598639,597635,598170,601701,611475,621689,630658,639907,645091,646788,650044,656696,662097,662384,660171,653571,645706,638189,634574,637674,641531,644994,648195,651927,655837,662157,673870,..,-5810,-3827,-2895,-1655,334,5418,4851,8309,15595,22013,25985,24841,23439,20522,17132,12745,10946,5281,-527,-4451,-9707,-9578,-8988,-9081,-7038,-2672,-5337,-1004,535,3531,9774,10214,8969,9249,5184,1697,3256,6652,5401,287,-2213,-6600,-7865,-7517,-3615,3100,3857,3463,3201,3732,3910,6320,11713
35-44_years,women,466972,459526,453554,449894,447657,446721,450219,451902,457649,469954,489661,512432,535674,557537,577764,595407,608940,620355,627046,628326,624739,616576,608434,599241,591031,583541,579604,575678,574328,574350,577112,586506,594962,603632,611361,617372,620129,624135,631013,636082,638577,637387,632537,625955,619284,615537,616808,618983,620139,621673,624028,626024,630808,640992,..,-7446,-5972,-3660,-2237,-936,3498,1683,5747,12305,19707,22771,23242,21863,20227,17643,13533,11415,6691,1280,-3587,-8163,-8142,-9193,-8210,-7490,-3937,-3926,-1350,22,2762,9394,8456,8670,7729,6011,2757,4006,6878,5069,2495,-1190,-4850,-6582,-6671,-3747,1271,2175,1156,1534,2355,1996,4784,10184
